active_substance,chemical_class,eu_status,approval_date,expiry_date,used_against,mrl_grapes_mg_kg,relevance_to_hu_wine,source_url,notes,verification_status,last_verified_date
Fluxapyroxad,SDHI,approved,2013-01-01,2027-10-31,powdery mildew,3,high,https://eur-lex.europa.eu/eli/reg_impl/2025/787/oj/eng,"Approved 1 January 2013 by Commission Implementing Regulation (EU) No 589/2012 of 4 July 2012. Approval period extended by Reg 2020/2007 to 31 May 2025, then by Reg 2025/787 (24 April 2025) by a further 29 months (renewal assessment by RMS not finalised). Resulting expiry approximately 31 October 2027. SDHI fungicide; resistance management important.",verified,2026-04-07
Tebuconazole,triazole (DMI),approved,2009-09-01,,powdery mildew,0.5,medium,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0125,"Approved 1 September 2009 by Commission Directive 2008/125/EC (entered into force on that date). Conditions of approval amended by Reg 921/2014. Approval period extended several times, most recently by Reg 2023/1446 (12 July 2023) to allow time for the endocrine-disruptor assessment under Reg 844/2012. Older DMI; under endocrine-disruptor scrutiny.",verified,2026-04-07
Difenoconazole,triazole (DMI),approved,2009-01-01,,powdery mildew;black rot,3,high,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32008L0069,"Approved 1 January 2009 by Commission Directive 2008/69/EC. Conditions of approval amended by Reg 1100/2011. Approval period extended successively by Reg 2019/1589, Reg 2020/1511, Reg 2021/1449, Reg 2022/1480 and most recently Reg 2023/2592 (21 November 2023). Widely used DMI.",verified,2026-04-07
Cyflufenamid,phenylacetamide,approved,2010-04-01,,powdery mildew,0.2,medium,https://eur-lex.europa.eu/eli/reg_impl/2024/324/oj,"Approved 1 April 2010 by Commission Directive 2009/154/EC. Approval period extended by Reg 2017/1527 (to 31 March 2023), then by Reg 2023/114 (to 31 March 2024), and most recently by Reg 2024/324 of 19 January 2024. Specialised powdery mildew product.",verified,2026-04-07
Spirotetramat,tetramic acid,not_approved,,2024-04-30,mealybugs;leafhoppers,2,medium,https://eur-lex.europa.eu/eli/reg_impl/2022/489/oj,"Originally approved 1 May 2014 by Commission Implementing Regulation (EU) No 1177/2013 of 20 November 2013. Approval expired 30 April 2024 because no applicant submitted a renewal application (Bayer withdrew due to endocrine-disruptor data requirements). Loss for HU mealybug/leafhopper vector control. Sale and inventory grace period to ~April 2025.",verified,2026-04-07
Lambda-cyhalothrin,pyrethroid,approved,2001,,leafhoppers;moths,0.2,high,https://food.ec.europa.eu/plants/pesticides/eu-pesticides-database_en,"Initially approved 2001, re-approved 2016. Approval period extended via Reg 2023/114. Pyrethroid used in FD vector control campaigns.",verified,2026-04-07
Deltamethrin,pyrethroid,approved,2003-11-01,,leafhoppers;moths,0.2,high,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32003L0005,"Approved 1 November 2003 by Commission Directive 2003/5/EC (10 January 2003). Conditions of approval extended via Reg 2018/1262, Reg 2020/1511 and most recently Reg 2023/1757 (11 September 2023). Authorised for Scaphoideus titanus control in several EU MS.",verified,2026-04-07
Acetamiprid,neonicotinoid,approved,2005-01-01,2033-02-28,leafhoppers;mealybugs,0.5,high,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0113,"First approved by Directive 2004/99/EC (effective 2005). Renewed by Reg 2018/113 (24 January 2018) until 28 February 2033. Only neonicotinoid still allowed outdoors in EU; KEY tool for leafhopper vector control in FD strategy.",verified,2026-04-07
Thiamethoxam,neonicotinoid,not_approved,,2019-04-19,leafhoppers,,medium,https://eur-lex.europa.eu/eli/reg_impl/2018/785/oj,"Outdoor use banned 2018 (Reg 2018/785). Loss significant for FD vector control.",verified,2026-04-07
Imidacloprid,neonicotinoid,not_approved,,2019-09-30,leafhoppers;phylloxera,,medium,https://eur-lex.europa.eu/eli/reg_impl/2018/783/oj,"Outdoor use banned 2018 (Reg 2018/783).",verified,2026-04-07
Clothianidin,neonicotinoid,not_approved,,2019-02-01,leafhoppers,,medium,https://eur-lex.europa.eu/eli/reg_impl/2018/784/oj,"Outdoor use banned 2018 (Reg 2018/784).",verified,2026-04-07
Thiacloprid,neonicotinoid,not_approved,,2020-04-30,leafhoppers;moths,,medium,https://ec.europa.eu/newsroom/sante/items/667420/en,"Non-renewal Commission decision 13 January 2020; withdrawn 3 February 2020; approval expired 30 April 2020. EFSA cited groundwater and reproductive toxicity concerns.",verified,2026-04-07
Dimethoate,organophosphate,not_approved,,2019-09-30,leafhoppers,,low,https://eur-lex.europa.eu/eli/reg_impl/2019/1090/oj,"Non-renewal Reg 2019/1090 (26 June 2019); previously used against Scaphoideus titanus.",verified,2026-04-07
Chlorpyrifos,organophosphate,not_approved,,2020-04-16,leafhoppers;moths,,low,https://eur-lex.europa.eu/eli/reg_impl/2020/18/oj,"Non-renewal Reg 2020/18 (10 January 2020). MS withdrew authorisations by 16 February 2020; grace period expired 16 April 2020.",verified,2026-04-07
Glyphosate,organophosphorus herbicide,approved,2002-07-01,2033-12-15,vineyard weeds,0.1,high,https://eur-lex.europa.eu/eli/reg_impl/2023/2660/oj,"First EU approval 1 July 2002. First renewal 12 December 2017 (5 years to 15 Dec 2022, extended one year). Second renewal 2023 for 10 years until 15 December 2033 (Reg 2023/2660).",verified,2026-04-07
Spinosad,spinosyn,approved,2026-04-01,,moths;thrips,0.5,medium,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ:L_202600351,"RENEWED by Commission Implementing Regulation (EU) 2026/351 of 18 February 2026; new approval applies from 1 April 2026. Originally approved 1 February 2007 by Commission Directive 2007/6/EC. Approval period had been extended by Reg 2023/689 and Reg 2025/99 pending the renewal decision. Approved for organic viticulture.",verified,2026-04-07
Bacillus thuringiensis,biological,approved,2009,,Lobesia botrana,,medium,https://eur-lex.europa.eu/eli/reg_impl/2023/998/oj,"Multiple Bt strains used in viticulture, all approved under Reg 1107/2009. Bt subsp. kurstaki strains ABTS-351, PB 54, SA 11, SA 12, EG 2348 RENEWED by Commission Implementing Regulations (EU) 2023/998, 2023/999, 2023/1000 etc. (23 May 2023). Extension Reg 2023/689 (20 March 2023) covered the transition. Standard organic moth control for Lobesia botrana.",verified,2026-04-07
Kaolin,inorganic,approved,,,sunburn;leafhoppers,,medium,https://www.efsa.europa.eu/en/efsajournal/pub/7637,"Listed as aluminium silicate (kaolin / kaolin calcined) in EU Reg 540/2011. EFSA peer review of renewal published 2022 (EFSA Journal 7637); rapporteur MS Greece, co-rapporteur France. Renewal Implementing Regulation has not yet been identified from a single primary source; original Annex inclusion date and current expiry unconfirmed. Particle film barrier; used in organic systems against sunburn and leafhoppers.",partial,2026-04-07
